KEY	INTPTLAT10	INTPTLON10
537	40.1019881	-88.2025627
538	40.1020113	-88.1978933
539	40.1010007	-88.1920677
540	40.1092786	-88.1782706
541	40.3262405	-88.16163
542	40.3024165	-88.1239584
543	40.1032657	-88.1855909
544	40.0965718	-88.1999361
545	40.1013938	-88.2091248
546	40.1080414	-88.2127726
547	40.1034242	-88.2206989
548	40.3146091	-88.1339517
549	40.3064579	-88.1391123
550	40.0439316	-87.9674494
551	40.0876002	-88.1973327
552	40.4545583	-88.3880374
553	40.4770205	-88.3991325
554	40.4677269	-88.099585
555	40.4731373	-88.3695957
556	40.454119	-88.2000982
557	40.7554691	-88.182507
558	40.7696665	-88.1771608
559	40.452281	-88.3616632
560	40.5020651	-88.3716036
561	40.5739544	-88.2720551
562	40.4519275	-88.090076
563	40.4657089	-88.0773989
564	40.4426405	-88.108515
565	40.4371831	-88.0169841
566	40.9594081	-88.1982635
567	40.5646521	-88.1688871
568	37.7507624	-88.1218561
569	37.7423156	-88.2194933
570	37.6720207	-88.2074145
571	37.6659363	-88.311915
572	37.8388687	-88.1255791
573	37.799417	-88.3269113
574	37.8665609	-88.2560152
575	38.0252172	-89.6667452
576	38.1584645	-89.7692242
577	38.1908502	-89.9371773
578	38.0144108	-89.7523557
579	37.9125545	-89.6759238
580	37.9267661	-89.8711346
581	38.0616398	-89.9937252
582	38.0745695	-90.1017252
583	38.0551125	-89.8867253
584	37.9927797	-89.8663466
585	38.0850947	-89.6583332
586	37.9344964	-89.8254878
587	37.9304255	-89.7938784
588	37.8637548	-89.7737805
589	37.9121739	-89.8269631
590	37.9097198	-89.7910426
591	37.9164968	-89.81848
592	38.1957521	-89.6059078
593	38.1765226	-89.6407693
594	38.0076174	-89.6103867
595	37.9903123	-89.6372974
596	38.177805	-90.0084602
597	38.2181335	-89.9815031
598	38.0863974	-89.9273382
599	38.2086122	-89.9952785
600	38.1339175	-89.6882502
601	38.1157038	-89.6974419
602	38.1585195	-89.7174329
603	38.112985	-89.7167723
604	38.1252207	-89.705942
605	38.0028161	-89.6631107
606	38.2131494	-89.6819618
607	38.1547718	-89.8640947
608	42.4559264	-88.837047
609	42.2292536	-88.8907132
610	42.2714884	-88.838259
611	42.2070141	-88.7407254
612	42.1865091	-88.8484303
613	42.2575431	-88.8287198
614	42.2420221	-88.8305556
615	42.2749311	-88.9213319
616	42.2579028	-88.850358
617	42.3022826	-88.7739328
618	42.2663994	-88.8560813
619	42.3966405	-88.7170753
620	42.2563935	-88.8395668
621	42.3822285	-88.7916102
622	42.2475246	-88.8014812
623	42.2612258	-88.853403
624	42.2642918	-88.8708922
625	42.2510647	-88.84297
626	42.3673921	-88.822994
627	42.2503118	-88.8537627
628	42.2439744	-88.8502681
629	42.3136135	-88.9102063
630	42.3753365	-88.9029881
631	42.2380095	-88.8511732
632	42.2933071	-88.9048835
633	42.3483995	-88.875479
634	42.3535844	-88.8599022
635	38.9948439	-87.6209066
636	39.1314706	-87.8812968
637	39.0401413	-87.9053877
638	38.991292	-87.7370036
639	38.9961391	-87.7308782
640	39.0135116	-87.8129879
641	38.979759	-87.8941498
642	39.0150838	-87.7644835
643	39.0134114	-87.7278087
644	39.0015589	-87.736824
645	39.0097279	-87.7447245
646	39.020503	-87.7373463
647	39.0021281	-87.7525739
648	39.0141265	-87.6524505
649	38.8788556	-87.6839026
650	38.9016471	-87.8492814
651	39.0934657	-87.6525589
652	39.1096492	-87.7545771
653	38.9214205	-87.6216559
654	39.0357651	-87.5875821
